id,match_id,half,team_name,name,start,end
184,1,One,Team A,OUT_POSSESSION,24212,24218
185,1,One,Team B,IN_POSSESSION,24546,25243
186,1,One,Team A,OUT_POSSESSION,24546,25243
187,1,One,Team A,IN_POSSESSION,25244,25282
188,1,One,Team B,OUT_POSSESSION,25244,25282
189,1,One,Team B,IN_POSSESSION,25283,25302
190,1,One,Team A,OUT_POSSESSION,25283,25302
191,1,One,Team A,IN_POSSESSION,25303,25489
192,1,One,Team B,OUT_POSSESSION,25303,25489
193,1,One,Team A,IN_POSSESSION,25490,25491
194,1,One,Team B,OUT_POSSESSION,25490,25491
195,1,One,Team B,IN_POSSESSION,25492,26689
196,1,One,Team A,OUT_POSSESSION,25492,26689
197,1,One,Team A,IN_POSSESSION,26690,27055
198,1,One,Team B,OUT_POSSESSION,26690,27055
199,1,One,Team B,IN_POSSESSION,27056,28880
200,1,One,Team A,OUT_POSSESSION,27056,28880
201,1,One,Team A,IN_POSSESSION,28881,29118
202,1,One,Team B,OUT_POSSESSION,28881,29118
203,1,One,Team B,IN_POSSESSION,29151,29536
204,1,One,Team A,OUT_POSSESSION,29151,29536
205,1,One,Team A,IN_POSSESSION,29537,29703
206,1,One,Team B,OUT_POSSESSION,29537,29703
207,1,One,Team B,IN_POSSESSION,29704,29935
208,1,One,Team A,OUT_POSSESSION,29704,29935
209,1,One,Team A,IN_POSSESSION,29936,30150
210,1,One,Team B,OUT_POSSESSION,29936,30150
211,1,One,Team B,IN_POSSESSION,30204,31235
212,1,One,Team A,OUT_POSSESSION,30204,31235
213,1,One,Team A,IN_POSSESSION,31236,31260
214,1,One,Team B,OUT_POSSESSION,31236,31260
215,1,One,Team B,IN_POSSESSION,31291,31466
216,1,One,Team A,OUT_POSSESSION,31291,31466
217,1,One,Team A,IN_POSSESSION,31467,31666
218,1,One,Team B,OUT_POSSESSION,31467,31666
219,1,One,Team B,IN_POSSESSION,31667,31747
220,1,One,Team A,OUT_POSSESSION,31667,31747
221,1,One,Team A,IN_POSSESSION,31748,31750
222,1,One,Team B,OUT_POSSESSION,31748,31750
223,1,One,Team A,IN_POSSESSION,31780,32124
